[105106.40030699968, 'CO', '1.17']
[42518.820069909096, 'HCl', '1.33']
[75503.662212595344, 'HCl CSSD (SCF)', '1.27']
[42365.18782889843, 'HCl CSSD (MP2)', '1.28']
[36369.140937298536, 'HCl CSSD (MP3)', '1.28']
[108106.61849909648, 'CO CSSD (SCF)', '1.11']
[130905.6430634968, 'CO CSSD (MP2)', '1.15']
[122521.71219750121, 'CO CSSD (MP3)', '1.13']
[105106.40030699968, 'CO', '1.17']
[42518.820069909096, 'HCl', '1.33']
[75503.662212595344, 'HCl CSSD (SCF)', '1.27']
[42365.18782889843, 'HCl CSSD (MP2)', '1.28']
[36369.140937298536, 'HCl CSSD (MP3)', '1.28']
[108106.61849909648, 'CO CSSD (SCF)', '1.11']
[130905.6430634968, 'CO CSSD (MP2)', '1.15']
[122521.71219750121, 'CO CSSD (MP3)', '1.13']
[105106.40030699968, 'CO', '1.17']
[42518.820069909096, 'HCl', '1.33']
[75503.662212595344, 'HCl CSSD (SCF)', '1.27']
[42365.18782889843, 'HCl CSSD (MP2)', '1.28']
[36369.140937298536, 'HCl CSSD (MP3)', '1.28']
[108106.61849909648, 'CO CSSD (SCF)', '1.11']
[130905.6430634968, 'CO CSSD (MP2)', '1.15']
[122521.71219750121, 'CO CSSD (MP3)', '1.13']
